flight_date,flight_status,live,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,arrival_delay,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24,aircraft,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao
2026-01-14,active,,Perth International,Australia/Perth,PER,YPPH,4,9,,2026-01-14T06:30:00+00:00,2026-01-14T06:30:00+00:00,,,,Paraburdoo,Australia/Perth,PBO,YPBO,,,,2026-01-14T08:20:00+00:00,,,,,,QantasLink,,QLK,1618,,QLK1618,,,,,7C42D5,,,,,,,
2026-01-14,active,,Perth International,Australia/Perth,PER,YPPH,,,,2026-01-14T05:40:00+00:00,2026-01-14T05:40:00+00:00,,,,,,BQB,YBLN,,,,2026-01-14T06:09:00+00:00,,,,,,empty,,,,,,,,,,7C7539,,,,,,,
2026-01-14,scheduled,,Seychelles International Airport,Indian/Mahe,SEZ,FSIA,D,,,2026-01-14T07:55:00+00:00,2026-01-14T07:55:00+00:00,,,,Praslin Island,Indian/Mahe,PRI,FSPP,,,,2026-01-14T08:15:00+00:00,,,,,,Air Seychelles,HM,SEY,3080,HM3080,SEY3080,,,,,,,,,,,,
2026-01-14,scheduled,,Seychelles International Airport,Indian/Mahe,SEZ,FSIA,D,,,2026-01-14T07:55:00+00:00,2026-01-14T07:55:00+00:00,,,,Praslin Island,Indian/Mahe,PRI,FSPP,,,,2026-01-14T08:15:00+00:00,,,,,,,X1,X1,4877,X14877,X14877,,,,,,,air seychelles,hm,sey,3080,hm3080,sey3080
2026-01-14,scheduled,,Hengyang,Asia/Shanghai,HNY,ZGHY,,4,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-01-14T14:35:00+00:00,,,,,,Loong Air,GJ,CDC,8075,GJ8075,CDC8075,,,,,,,,,,,,
2026-01-14,scheduled,,Hengyang,Asia/Shanghai,HNY,ZGHY,,4,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-01-14T14:35:00+00:00,,,,,,China Southern Airlines,CZ,CSN,7027,CZ7027,CSN7027,,,,,,,loong air,gj,cdc,8075,gj8075,cdc8075
2026-01-14,scheduled,,Hengyang,Asia/Shanghai,HNY,ZGHY,,4,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-01-14T14:35:00+00:00,,,,,,Xiamen Airlines,MF,CXA,5734,MF5734,CXA5734,,,,,,,loong air,gj,cdc,8075,gj8075,cdc8075
2026-01-14,scheduled,,Hengyang,Asia/Shanghai,HNY,ZGHY,,4,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-01-14T14:35:00+00:00,,,,,,Chengdu Airlines,EU,UEA,7535,EU7535,UEA7535,,,,,,,loong air,gj,cdc,8075,gj8075,cdc8075
2026-01-14,scheduled,,Hengyang,Asia/Shanghai,HNY,ZGHY,,4,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-01-14T14:35:00+00:00,,,,,,China Express Air,G5,HXA,6347,G56347,HXA6347,,,,,,,loong air,gj,cdc,8075,gj8075,cdc8075
2026-01-14,scheduled,,Hengyang,Asia/Shanghai,HNY,ZGHY,,4,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-01-14T14:35:00+00:00,,,,,,Tibet Airlines,TV,TBA,2335,TV2335,TBA2335,,,,,,,loong air,gj,cdc,8075,gj8075,cdc8075
2026-01-14,scheduled,,Pashkovsky,Europe/Moscow,KRR,URKK,,,,2026-01-14T06:55:00+00:00,2026-01-14T06:55:00+00:00,,,,Vnukovo,Europe/Moscow,VKO,UUWW,A,,,2026-01-14T09:05:00+00:00,,,,,,Pobeda,DP,PBD,160,DP160,PBD160,,,,,,,,,,,,
